date,channel,campaign,spend,impressions,clicks,conversions,revenue_generated,click_through_rate,conversion_rate,cost_per_click,roas,month
2024-01-01,google_ads,brand awareness q1,25000,500000,8500,120,180000,0.017,0.0141,2.94,7.2,2024-01
2024-01-01,facebook,retargeting jan,12000,350000,5200,85,102000,0.0149,0.0163,2.31,8.5,2024-01
2024-01-01,linkedin,b2b outreach q1,18000,120000,2100,45,135000,0.0175,0.0214,8.57,7.5,2024-01
2024-01-01,email,newsletter jan,2500,85000,4200,95,57000,0.0494,0.0226,0.6,22.8,2024-01
2024-02-01,google_ads,product launch,32000,620000,9800,145,232000,0.0158,0.0148,3.27,7.25,2024-02
2024-02-01,facebook,lead gen feb,15000,420000,6100,92,110400,0.0145,0.0151,2.46,7.36,2024-02
2024-02-01,linkedin,decision maker q1,22000,145000,2600,55,165000,0.0179,0.0212,8.46,7.5,2024-02
2024-02-01,email,promo feb,3000,92000,5100,110,66000,0.0554,0.0216,0.59,22.0,2024-02
2024-03-01,google_ads,q1 close,28000,550000,8900,132,211200,0.0162,0.0148,3.15,7.54,2024-03
2024-03-01,facebook,lookalike mar,13500,380000,5600,88,105600,0.0147,0.0157,2.41,7.82,2024-03
2024-03-01,linkedin,retargeting b2b,19500,130000,2300,48,144000,0.0177,0.0209,8.48,7.38,2024-03
2024-03-01,email,quarterly review,2800,88000,4600,102,61200,0.0523,0.0222,0.61,21.86,2024-03
2024-04-01,google_ads,q2 launch,35000,680000,10500,158,252800,0.0154,0.015,3.33,7.22,2024-04
2024-04-01,facebook,spring campaign,16500,450000,6800,105,126000,0.0151,0.0154,2.43,7.64,2024-04
2024-04-01,linkedin,enterprise push,24000,160000,2900,62,186000,0.0181,0.0214,8.28,7.75,2024-04
