date,department,metric_name,metric_value,month
2024-01-31,sales,calls_made,450.0,2024-01
2024-01-31,sales,demos_conducted,85.0,2024-01
2024-01-31,sales,proposals_sent,42.0,2024-01
2024-01-31,marketing,leads_generated,320.0,2024-01
2024-01-31,marketing,mql_count,128.0,2024-01
2024-01-31,customer_success,tickets_resolved,215.0,2024-01
2024-01-31,customer_success,avg_resolution_hours,4.2,2024-01
2024-02-29,sales,calls_made,520.0,2024-02
2024-02-29,sales,demos_conducted,98.0,2024-02
2024-02-29,sales,proposals_sent,51.0,2024-02
2024-02-29,marketing,leads_generated,385.0,2024-02
2024-02-29,marketing,mql_count,154.0,2024-02
2024-02-29,customer_success,tickets_resolved,248.0,2024-02
2024-02-29,customer_success,avg_resolution_hours,3.8,2024-02
2024-03-31,sales,calls_made,495.0,2024-03
2024-03-31,sales,demos_conducted,92.0,2024-03
2024-03-31,sales,proposals_sent,48.0,2024-03
2024-03-31,marketing,leads_generated,412.0,2024-03
2024-03-31,marketing,mql_count,165.0,2024-03
2024-03-31,customer_success,tickets_resolved,276.0,2024-03
2024-03-31,customer_success,avg_resolution_hours,3.5,2024-03
