date,department,metric_name,metric_value
2024-01-31,sales,calls_made,450
2024-01-31,sales,demos_conducted,85
2024-01-31,sales,proposals_sent,42
2024-01-31,marketing,leads_generated,320
2024-01-31,marketing,mql_count,128
2024-01-31,customer_success,tickets_resolved,215
2024-01-31,customer_success,avg_resolution_hours,4.2
2024-02-29,sales,calls_made,520
2024-02-29,sales,demos_conducted,98
2024-02-29,sales,proposals_sent,51
2024-02-29,marketing,leads_generated,385
2024-02-29,marketing,mql_count,154
2024-02-29,customer_success,tickets_resolved,248
2024-02-29,customer_success,avg_resolution_hours,3.8
2024-03-31,sales,calls_made,495
2024-03-31,sales,demos_conducted,92
2024-03-31,sales,proposals_sent,48
2024-03-31,marketing,leads_generated,412
2024-03-31,marketing,mql_count,165
2024-03-31,customer_success,tickets_resolved,276
2024-03-31,customer_success,avg_resolution_hours,3.5
